region,pop2019,zone
Afghanistan,38041757,Asia
Albania,2862427,Europe
Algeria,43053054,Africa
Andorra,76177,Europe
Angola,31825299,Africa
Anguilla,14872,America
Antigua and Barbuda,97115,America
Argentina,44780675,America
Armenia,2957728,Europe
Aruba,106310,America
Australia,25203200,Oceania
Austria,8858775,Europe
Azerbaijan,10047719,Europe
Bahamas,389486,America
Bahrain,1641164,Asia
Bangladesh,163046173,Asia
Barbados,287021,America
Belarus,9452409,Europe
Belgium,11455519,Europe
Belize,390351,America
Benin,11801151,Africa
Bermuda,62508,America
Bhutan,763094,Asia
Bolivia,11513102,America
Bosnia,3300998,Europe
Botswana,2303703,Africa
Brazil,211049519,America
British Virgin Islands,30033,America
Brunei,433296,Asia
Bulgaria,7000039,Europe
Burkina Faso,20321383,Africa
Burma,54045422,Asia
Burundi,11530577,Africa
Cambodia,16486542,Asia
Cameroon,25876387,Africa
Canada,37411038,America
Cabo Verde,549936,Africa
Cases on an international conveyance Japan,,Other
Cayman Islands,64948,America
Central African Republic,4745179,Africa
Chad,15946882,Africa
Chile,18952035,America
China,1433783692,Asia
Colombia,50339443,America
Comoros,850891,Africa
Congo,5380504,Africa
DRC,5380504,Africa
Costa Rica,5047561,America
Cote dIvoire,25716554,Africa
Croatia,4076246,Europe
Cuba,11333484,America
Cura̤ao,163423,America
Cyprus,875899,Europe
Czechia,10649800,Europe
Democratic Republic of the Congo,86790568,Africa
Denmark,5806081,Europe
Djibouti,973557,Africa
Dominica,71808,America
Dominican Republic,10738957,America
Ecuador,17373657,America
Egypt,100388076,Africa
El Salvador,6453550,America
Equatorial Guinea,1355982,Africa
Eritrea,3497117,Africa
Estonia,1324820,Europe
Eswatini,1148133,Africa
Ethiopia,112078727,Africa
Falkland Islands (Malvinas),3372,America
Faroe Islands,48677,Europe
Fiji,889955,Oceania
Finland,5517919,Europe
France,67012883,Europe
French Polynesia,279285,Oceania
Gabon,2172578,Africa
Gambia,2347696,Africa
Georgia,3996762,Europe
Germany,83019213,Europe
Ghana,30417858,Africa
Gibraltar,33706,Europe
Greece,10724599,Europe
Greenland,56660,America
Grenada,112002,America
Guam,167295,Oceania
Guatemala,17581476,America
Guernsey,64468,Europe
Guinea,12771246,Africa
Guinea-Bissau,1920917,Africa
Guyana,782775,America
Haiti,11263079,America
Holy See,815,Europe
Honduras,9746115,America
Hungary,9772756,Europe
Iceland,356991,Europe
India,1366417756,Asia
Indonesia,270625567,Asia
Iran,82913893,Asia
Iraq,39309789,Asia
Ireland,4904240,Europe
Isle of Man,84589,Europe
Israel,8519373,Asia
Italy,60359546,Europe
Jamaica,2948277,America
Japan,126860299,Asia
Jersey,107796,Europe
Jordan,10101697,Asia
Kazakhstan,18551428,Asia
Kenya,52573967,Africa
Kosovo,1798506,Europe
Kuwait,4207077,Asia
Kyrgyzstan,6415851,Asia
Laos,7169456,Asia
Lao People's Democratic Republic,7169456,Asia
Latvia,1919968,Europe
Lebanon,6855709,Asia
Lesotho,2125267,Africa
Liberia,4937374,Africa
Libya,6777453,Africa
Libyan Arab Jamahiriya,6777453,Africa
Liechtenstein,38378,Europe
Lithuania,2794184,Europe
Luxembourg,613894,Europe
Madagascar,26969306,Africa
Malawi,18628749,Africa
Malaysia,31949789,Asia
Maldives,530957,Asia
Mali,19658023,Africa
Malta,493559,Europe
Marshall Islands,58791,Oceania
Mauritania,4525698,Africa
Mauritius,1269670,Africa
Mexico,127575529,America
Moldova,4043258,Europe
Monaco,33085,Europe
Mongolia,3225166,Asia
Montenegro,622182,Europe
Montserrat,4991,America
Morocco,36471766,Africa
Mozambique,30366043,Africa
Myanmar,54045422,Asia
Namibia,2494524,Africa
Nepal,28608715,Asia
Netherlands,17282163,Europe
New Caledonia,282757,Oceania
New Zealand,4783062,Oceania
Nicaragua,6545503,America
Niger,23310719,Africa
Nigeria,200963603,Africa
Northern Mariana Islands,57213,Oceania
North Macedonia,2077132,Europe
Macedonia,2077132,Europe
Norway,5328212,Europe
Oman,4974992,Asia
Pakistan,216565317,Asia
Palestine,4981422,Asia
Panama,4246440,America
Papua New Guinea,8776119,Oceania
Paraguay,7044639,America
Peru,32510462,America
Philippines,108116622,Asia
Poland,37972812,Europe
Portugal,10276617,Europe
Puerto Rico,2933404,America
Qatar,2832071,Asia
Romania,19414458,Europe
Russia,145872260,Europe
Rwanda,12626938,Africa
Saint Kitts and Nevis,52834,America
Saint Lucia,182795,America
Saint Vincent and the Grenadines,110593,America
San Marino,34453,Europe
Sao Tome and Principe,215048,Africa
Saudi Arabia,34268529,Asia
Senegal,16296362,Africa
Serbia,6963764,Europe
Seychelles,97741,Africa
Sierra Leone,7813207,Africa
Singapore,5804343,Asia
Sint Maarten,42389,America
Slovakia,5450421,Europe
Slovenia,2080908,Europe
Solomon Islands,669821,Oceania
Somalia,15442906,Africa
South Africa,58558267,Africa
South Korea,51225321,Asia
S. Korea,51225321,Asia
South Sudan,11062114,Africa
Spain,46937060,Europe
Sri Lanka,21323734,Asia
Sudan,42813237,Africa
Suriname,581363,America
Sweden,10230185,Europe
Switzerland,8544527,Europe
Syria,17070132,Asia
Syrian Arab Republic,17070132,Asia
Taiwan,23773881,Asia
Tajikistan,9321023,Asia
Thailand,69625581,Asia
Timor-Leste,1293120,Asia
Togo,8082359,Africa
Trinidad and Tobago,1394969,America
Tunisia,11694721,Africa
Turkey,82003882,Europe
Turks and Caicos islands,38194,America
Uganda,44269587,Africa
Ukraine,43993643,Europe
United Arab Emirates,9770526,Asia
UAE,9770526,Asia
United Kingdom,66647112,Europe
UK,66647112,Europe
Tanzania,58005461,Africa
United States of America,329064917,America
USA,329064917,America
United States Virgin Islands,104579,America
Uruguay,3461731,America
Uzbekistan,32981715,Asia
Vanuatu,299882,Oceania
Venezuela,28515829,America
Vietnam,96462108,Asia
Wallis and Futuna,,Oceania
Western Sahara,582458,Africa
Yemen,29161922,Asia
Zambia,17861034,Africa
Zimbabwe,14645473,Africa
